Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Autoservicio",FB7207D9-707C-95E7-81D9-6E5FA7A10350,88,,36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,N,Logical Type,,,,,DOM3000004,1,LOGDT006,11,,,,,,,,,N,,Boolean,,,,,,,,"PUNTO ATENCIÓN",,,,2,1,,,,
"Ciudad",935CDE8F-E562-30B3-ED91-A2A78CAA414B,89,,0E925CDD-36F8-26D9-31F9-E3A227E8F194,77,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"DIRECCIÓN FISICA",,,,3,,,,,
"Ciudad",268A7FF8-464D-86CD-57BD-EE94110814F3,90,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,9,,,,,
"Clave",D406B37E-1C23-DF30-290F-07FCEA5FB0AD,91,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,2,,,,,
"Codigo postal ",2E8DE6FF-C80F-8B38-D8F1-021C05ED0563,92,,0E925CDD-36F8-26D9-31F9-E3A227E8F194,77,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"DIRECCIÓN FISICA",P,,,4,,,,,
"Codigo postal ",3955A528-A001-A3BF-079F-312277006250,93,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,3ECC1E13-C1A1-1B5A-AC00-F62A7A19DB5C,163,"OFICINA",,F,"asignada a una",4,,,,,
"Cuotas",A3C93CD4-17F9-2FFF-60C8-9162DC692C23,94,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PRESTAMO",,,,5,,,,,
"Cuotas Pendientes",ACEE439D-DD75-E3C1-6809-12EA7C55DFA3,95,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PRESTAMO",,,,6,,,,,
"Departamento",7543CDC4-5BAB-1C02-5302-769B008FFF2B,96,,0E925CDD-36F8-26D9-31F9-E3A227E8F194,77,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"DIRECCIÓN FISICA",,,,2,,,,,
"Departamento",F00544CC-4BEE-9226-F429-23B6D242B059,97,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,10,,,,,
"Dia Corte",B4171DAE-824A-FFEE-719C-570BA2DF592B,98,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"PRESTAMO",,,,8,,,,,
"Dirección",5EDDB721-2530-4C04-CF5B-8B30A7BD4346,99,,0E925CDD-36F8-26D9-31F9-E3A227E8F194,77,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"DIRECCIÓN FISICA",,,,1,,,,,
"Dirección Electrónica",911CBB31-9E8B-17CE-03CE-D34F5A9DF5F3,100,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"USUARIO",,,,7,,,,,
"Documento Identidad",7E037063-7541-5777-AE86-5FB88EE9715A,101,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"USUARIO",P,,,4,,,,,
"Documento Identidad",F771B3B0-A065-BB66-DA6A-1E061A0A270C,102,,15D0C915-1F28-500A-714D-832CEA56EFE1,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,CEE8FD41-7F81-52FE-EFE7-5540511ACCD5,166,"CLIENTE",,F,"Crear cuenta",1,,,,,
"Documento Identidad1",A1DFC2AA-3453-4FEB-92B2-CA2AB8B7AD42,103,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,BD49EDC3-0F19-3DCC-50E4-80B2A0E6FB39,168,"OPERACIÓN BANCARIA",,F,"operación gerencial",9,,,,,
"Documento Identidad1",9E81F2B7-D6B2-6954-5059-4099C9DA92B0,104,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,BD3A0478-56BA-D527-70D1-1C40D51A5807,161,"USUARIO",,F,"AdminBancAndes crea cuentas",11,,,,,
"Estado",A65D8C6A-DDD2-630F-86A6-76654048B7E6,105,,D643A724-59C6-9494-C087-74F15555771A,76,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"CUENTA",,,,3,,,,,
"Estado",A4A20C37-9BF8-4593-3FE1-6775B7CA7F1C,106,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,,,"PRESTAMO",P,,,1,,,,,
"Estado",FC55E3C7-B6EC-FEC7-D53C-C9CEBA3653AB,107,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,7B9C2B4B-E58D-FBFC-BAB4-DA6160189A79,169,"OPERACIÓN BANCARIA",,F,"Pagar, soliditar",7,,,,,
"Fecha",E70FCB04-B24B-4781-F40F-9D7A6DF6E49B,108,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"OPERACIÓN BANCARIA",,,,2,,,,,
"Fecha de Creación",D962EA77-1219-79D7-B7A2-84ED945E2356,109,,BD4C940C-865C-8209-DC81-7E17020DD299,85,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"PRODUCTO",,,,2,,,,,
"Id",B5D4BCE3-33A2-E497-0353-6BE2E5B08F13,110,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"OFICINA",P,,,2,,,,,
"Id",714C6945-6D44-E042-7F9C-743E046E86B0,111,,36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PUNTO ATENCIÓN",P,,,1,,,,,
